Gender,Height,Weight,BMI,Status
Female,148,67,30.63432882518762,Obesity II
Female,181,54,16.519588677259005,Underweight
Male,186,84,24.199648891260633,Overweight
Male,191,74,20.363563118977787,Normal
Male,166,62,22.34677140806355,Normal
Female,158,96,38.379948167992275,Obesity II
Male,160,68,26.574094579081766,Obesity I
Male,174,100,33.04618258196535,Obesity II
Male,164,85,31.68212054148751,Obesity II
Male,168,84,29.812938051955868,Obesity I
Female,172,81,27.54457770472963,Obesity I
Female,165,82,30.153004263278152,Obesity II
Male,175,56,18.195269905982077,Underweight
Male,174,69,22.80563017519169,Normal
Male,192,108,29.08029063414341,Obesity I
Male,166,110,39.62659920538877,Obesity II
Female,148,52,23.868002671257287,Overweight
Female,174,62,20.69731553991242,Normal
Female,180,88,27.2108157723356,Obesity I
Female,177,60,19.097990437799464,Normal
Male,167,88,31.499480061225803,Obesity II
Male,189,57,16.01023477360469,Underweight
Female,163,65,24.27998521841611,Overweight
Female,180,71,22.03970225884339,Normal
Female,155,94,39.09839269024216,Obesity II
Female,155,81,33.6581628678196,Obesity II
Female,179,77,24.091419535089507,Overweight
Male,159,51,20.154878031031522,Normal
Male,189,68,18.917404071406786,Normal
Male,180,65,20.072017675844688,Normal
Male,191,84,23.01147424573562,Overweight
Female,167,62,22.24679033077673,Normal
Female,173,91,30.1692543241519,Obesity II
Male,191,115,31.55830858156195,Obesity II
Female,167,44,15.947477619355444,Underweight
Female,152,97,42.223713208852935,Obesity II
Male,175,59,19.478552864667883,Normal
Female,160,95,37.19998281621859,Obesity II
Female,176,44,14.139732486231441,Underweight
Male,168,58,20.68478962882203,Normal
Male,181,80,24.452137144889246,Overweight
Female,153,86,36.99025404325786,Obesity II
Female,152,98,42.16389983486662,Obesity II
Female,179,98,30.556932576706046,Obesity II
Female,162,49,18.472101906165417,Underweight
Female,167,47,16.769165809701033,Underweight
Male,169,98,34.15621798762268,Obesity II
Male,168,66,23.574479518243347,Overweight
Female,155,52,21.51239841856158,Normal
Male,171,111,38.01433117648957,Obesity II
Male,187,101,28.980540549787587,Obesity I
Female,160,87,33.93382041411511,Obesity II
Male,178,54,17.079924261415012,Underweight
Male,189,113,31.796203360035033,Obesity II
Male,162,85,32.47552890606149,Obesity II
Female,181,62,19.049376799935903,Normal
Male,176,59,19.21160982859692,Normal
Male,164,57,21.141616351912372,Normal
Male,186,86,24.65661491550258,Overweight
Female,159,74,29.31880051009213,Obesity I
Female,158,75,29.992752915686665,Obesity II
Male,168,119,42.17024252570881,Obesity II
Male,172,115,38.87464949933299,Obesity II
Female,160,83,32.35207228446489,Obesity II
Female,165,77,28.151664138610244,Obesity I
Female,156,80,32.846482762477955,Obesity II
Female,162,98,37.652221580837114,Obesity II
Female,174,97,31.980346174212123,Obesity II
Male,190,74,20.38980409220397,Normal
Female,179,45,13.895081422954526,Underweight
Female,181,49,14.939552969470409,Underweight
Female,178,58,18.35489678024382,Underweight
Male,176,65,21.12110272104717,Normal
Male,187,88,25.27323856011423,Obesity I
Female,157,69,27.954290190997586,Obesity I
Male,191,73,20.01877207254448,Normal
Female,157,45,18.278279756418506,Underweight
Female,169,80,28.099544685386597,Obesity I
Female,181,90,27.26807056636329,Obesity I
Male,158,68,27.062441466655184,Obesity I
Male,187,76,21.944092593798626,Normal
Male,168,53,18.80190351968207,Normal
Male,180,84,26.20717591667182,Obesity I
Female,171,97,33.26515939035737,Obesity II
Female,156,91,37.55265219692298,Obesity II
Female,170,70,24.27060771801676,Overweight
Male,186,63,18.41211497350648,Underweight
Female,172,55,18.682431826320883,Normal
Male,169,59,20.834554329827817,Normal
Male,187,61,17.595830817053024,Underweight
Male,162,70,26.656615978680097,Obesity I
Female,180,62,19.363651480276136,Normal
Female,155,81,33.95594209575628,Obesity II
Female,148,62,28.29427537328998,Obesity I
Male,179,71,22.02678128098371,Normal
Male,186,86,24.77129280719231,Overweight
Female,158,77,31.15465391235248,Obesity II
Female,147,49,22.52006960138672,Normal
Male,162,69,26.409137589688036,Obesity I
Male,157,105,42.56229789854408,Obesity II
Female,172,62,20.895953714059747,Normal
Female,166,44,15.941041879809298,Underweight
Female,152,43,18.72997278829152,Normal
Male,186,75,21.63749319823735,Normal
Female,175,73,23.820524461306277,Overweight
Female,172,52,17.447113949611634,Underweight
Male,167,118,42.014098271029034,Obesity II
Male,158,99,39.515828375056074,Obesity II
Female,156,44,17.93952291944963,Underweight
Female,167,81,28.968106979866523,Obesity I
Male,188,99,27.774660745610664,Obesity I
Male,158,84,33.82857192476077,Obesity II
Male,167,73,26.3140382993777,Obesity I
Male,158,84,33.53695390389836,Obesity II
Female,177,69,21.96794756064181,Normal
Female,163,90,34.2028614932678,Obesity II
Male,182,97,29.22984528471995,Obesity I
Female,171,54,18.32626330570943,Underweight
Male,161,53,20.508789189397156,Normal
Male,179,70,22.095423971408202,Normal
Female,157,84,34.02193232421995,Obesity II
Female,163,53,19.964397010748236,Normal
Male,177,78,24.728909622303497,Overweight
Male,179,73,22.96571056626334,Overweight
Male,186,92,26.588615440057545,Obesity I
Male,190,109,30.256557835746026,Obesity II
Male,160,80,31.313633743184976,Obesity II
Female,160,64,24.94405002729106,Obesity I
Male,191,54,14.847201271492404,Underweight
Female,180,97,29.702529431736934,Obesity I
Female,158,95,37.91297464307382,Obesity II
Male,160,118,46.07997905058059,Obesity II
Male,157,108,43.491268194305256,Obesity II
Female,166,86,31.127215861938705,Obesity II
Male,157,102,41.12628324153669,Obesity II
Male,183,85,25.528740699465498,Obesity I
Female,166,65,23.510104056821575,Overweight
Male,187,84,24.143699387738042,Overweight
Female,157,76,30.875927347991315,Obesity II
Male,176,71,23.03950684903526,Overweight
Female,181,84,25.527666335510123,Obesity I
Female,175,98,31.926384945579752,Obesity II
Male,158,74,29.73161518006218,Obesity I
Female,172,57,19.21685093039459,Normal
Male,172,53,18.045454929463855,Underweight
Male,166,80,29.272115505487328,Obesity I
Male,164,89,33.079731730500576,Obesity II
Male,180,60,18.6874322306591,Normal
Male,169,65,22.71625422281917,Normal
Male,174,76,25.066208970093964,Obesity I
Female,176,43,13.750497196600096,Underweight
Male,174,62,20.659347510280572,Normal
Female,174,62,20.487801996105542,Normal
Male,183,109,32.53713625553163,Obesity II
Female,183,71,21.304571746253156,Normal
Male,191,111,30.64938740063156,Obesity II
Male,166,115,41.69971265753989,Obesity II
Female,159,64,25.31483246670215,Obesity I
Male,193,63,16.974384402562627,Underweight
Male,190,59,16.27307868635717,Underweight
Female,163,57,21.432295235082478,Normal
Female,165,87,31.70505354065168,Obesity II
Female,160,60,23.45159558182802,Overweight
Male,187,93,26.62592478702598,Obesity I
Female,164,69,25.851159311084558,Obesity I
Female,180,48,14.720613880346445,Underweight
Female,178,85,26.944585565099278,Obesity I
Male,183,78,23.30691061926905,Overweight
Female,147,86,39.64145163458822,Obesity II
Female,153,86,36.907835998098456,Obesity II
Male,178,57,17.87960467744206,Underweight
Female,160,85,33.194546949067394,Obesity II
Male,182,80,23.997594932057332,Overweight
Male,178,64,20.27499373627599,Normal
Male,178,111,35.01205778601962,Obesity II
Male,169,99,34.68046368424982,Obesity II
Female,172,57,19.067014598500762,Normal
Male,163,94,35.218302611097485,Obesity II
Female,167,65,23.100684099659098,Overweight
Female,170,48,16.554661627550576,Underweight
Female,177,90,28.93877093323989,Obesity I
Female,154,56,23.398493429150648,Overweight
Female,165,78,28.649637886791396,Obesity I
Male,158,113,45.4528057882091,Obesity II
Female,164,88,32.71530019154654,Obesity II
Male,180,83,25.569797222304462,Obesity I
Male,190,101,27.929747051181604,Obesity I
Female,182,90,27.23918598481482,Obesity I
Female,159,66,26.06442270383431,Obesity I
Male,161,83,32.0643802933575,Obesity II
Female,174,55,18.287246987600042,Underweight
Female,159,50,20.040333245887204,Normal
Female,174,82,27.02467796429131,Obesity I
Female,179,85,26.708018349521286,Obesity I
